annotation;class;metric;tags;modality;;;
struct_hubs_hcp;network-metrics;structural hubs;struct-hub;MRI;;;
bb_gradient;microstructural;cytoarchitectonic feature;cyto-gradient;MRI;;;
bb_moment1;microstructural;cytoarchitectonic feature;cyto-intensity;MRI;;;
bb_moment2;microstructural;cytoarchitectonic feature;cyto-mean;MRI;;;
bb_moment3;microstructural;cytoarchitectonic feature;cyto-sd;MRI;;;
bb_moment4;microstructural;cytoarchitectonic feature;cyto-skewness;MRI;;;
bb_moment5;microstructural;cytoarchitectonic feature;cyto-kurtosis;MRI;;;
aghourian2017-feobv;neurotransmitter - transporter;acetylcholine transporter;VAChT;PET;;;
beliveau2017-cimbi36;neurotransmitter - receptor;serotonin receptor;5-HT2a;PET;;;
beliveau2017-dasb;neurotransmitter - transporter;serotonin transporter;5-HTT;PET;;;
beliveau2017-sb207145;neurotransmitter - receptor;serotonin receptor;5-HT4;PET;;;
ding2010-mrb;neurotransmitter - transporter;norepinephrine transporter;NET;PET;;;
dubois2015-abp688;neurotransmitter - receptor;glutamate receptor;mGluR5;PET;;;
dukart2018-flumazenil;neurotransmitter - receptor;gaba receptor;GABAa;PET;;;
dukart2018-fpcit;neurotransmitter - transporter;dopamine transporter;DAT;PET;;;
fazio2016-madam;neurotransmitter - transporter;serotonin transporter;5-HTT;PET;;;
finnema2016-ucbj;microstructural;synaptic vesicle glycoprotein 2A ;SV2A;PET;;;
gallezot2010-p943;neurotransmitter - receptor;serotonin receptor;5-HT1b;PET;;;
gallezot2017-gsk189254;neurotransmitter - receptor;histamine receptor;H3;PET;;;
galovic2021-ge179;neurotransmitter - receptor;glutamate receptor;NMDA;PET;;;
hillmer2016-flubatine;neurotransmitter - receptor;acetylcholine receptor;a4b2;PET;;;
jaworska2020-fallypride;neurotransmitter - receptor;dopamine receptor;D2;PET;;;
kaller2017-sch23390;neurotransmitter - receptor;dopamine receptor;D1;PET;;;
kantonen2020-carfentanil;neurotransmitter - receptor;mu-opioid receptor;MOR;PET;;;
kim2020-ps13;neurotransmitter - enzyme;cyclooxygenase-1;COX-1;PET;;;
lois2018-pbr28;neurotransmitter - proteine;translocator protein;TSPO;PET;;;
lukow2022-ro154513;neurotransmitter - receptor;gabaa receptor, alpha5 subunit;GABAa_alpha5;PET;;;
malen2022-raclopride;neurotransmitter - receptor;dopamine receptor;D2;PET;;;
naganawa2020-lsn3172176;neurotransmitter - receptor;acetylcholine receptor;M1;PET;;;
norgaard2021-flumazenil;neurotransmitter - receptor;gabaa receptor;GABAa;PET;;;
normandin2015-omar;neurotransmitter - receptor;cannabinoid receptor;CB1;PET;;;
radnakrishnan2018-gsk215083;neurotransmitter - receptor;serotonin receptor;5-HT6;PET;;;
rosaneto-abp688;neurotransmitter - receptor;glutamate receptor;mGluR5;PET;;;
sasaki2012-fepe2i;neurotransmitter - transporter;dopamine transporter;DAT;PET;;;
satterthwaite2014-meancbf;metabolism;cerebral blood flow;cereb-bloodflow;ASL;;;
savli2012-dasb;neurotransmitter - transporter;serotonin transporter;5-HTT;PET;;;
savli2012-way100635;neurotransmitter - receptor;serotonin receptor;5-HT1a;PET;;;
smart2019-abp688;neurotransmitter - receptor;glutamate receptor;mGluR5;PET;;;
smith2017-flb457;neurotransmitter - receptor;dopamine receptor;D2;PET;;;
tuominen-feobv;neurotransmitter - transporter;acetylcholine transporter;VAChT;PET;;;
vijay2018-ly2795050;neurotransmitter - receptor;kappa-opioid receptor;KOR;PET;;;
wey2016-martinostat;neurotransmitter - enzyme;histone deacetylase (class 1, );HDAC;PET;;;
abagen-genepc1;microstructural - summary;pc1 gene expression;genepc1;;;;
hcps1200-myelinmap;microstructural;myelin;myelin;MRI;;;
hcps1200-thickness;microstructural;cortical thickness;thickness;MRI;;;
hill2010-devexp;cortical expansion;developmental cortical expansion;dev-expansion;MRI;;;
hill2010-evoexp;cortical expansion;evolutionary expansion;ev-expansion ;MRI;;;
raichle-cbf;metabolism;cerebral blood flow;cereb-bloodflow;fMRI;;;
raichle-cbv;metabolism;cerebral blood volume;cereb-bloodvol;fMRI;;;
raichle-cmr02;metabolism;oxygen metabolism;oxygen;fMRI;;;
raichle-cmrglc;metabolism;glucose metabolism;glucose;fMRI;;;
reardon2018-scalingnih;cortical expansion;cortical scaling development;cort-scaling;MRI;;;
reardon2018-scalingpnc;cortical expansion;cortical scaling development;cort-scaling;MRI;;;
sydnor2021-SAaxis;gradient - summary;sensory-association mean rank axis;s-a-axis;mixed;;;
neurotransmpc1;neurotransmitter - summary;pc1 neurotransmitter;ntpc1;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;